,Vehicle Number,CurrentReading
0,WB04J0946,64498
1,WB04J0974,47476
2,WB04J1042,52023
3,WB04J2157,30517
4,WB04J2167,32680
5,WB04J2171,28670
6,WB04J2174,33422
7,WB04J2178,31945
8,WB04J2193,58591
9,WB04J2207,37588
10,WB04J2208,66495
11,WB04J2211,35138
12,WB04J2212,31958
13,WB04J2214,57670
14,WB04J2218,40763
15,WB04J2224,34446
16,WB04J2229,39076
17,WB04J2235,27489
18,WB04J2240,37916
19,WB04J2241,75053
20,WB04J2247,32224
21,WB04J2260,307006
22,WB04J2261,33118
23,WB04J2264,32964
24,WB04J2265,33459
25,WB04J2272,31592
26,WB04J2281,32823
27,WB04J2292,33362
28,WB04J2295,35176
29,WB04J2298,35257
30,WB04J2314,34876
31,WB04J2320,33843
32,WB04J2330,31792
33,WB04J2333,48198
34,WB04J2337,37691
35,WB04J2348,282600
36,WB04J2349,33524
37,WB04J2380,29519
38,WB04J2395,34622
39,WB04J2446,39500
40,WB04J2458,29381
41,WB04J2464,28537
42,WB04J2483,31672
43,WB04J2503,29895
44,WB04J2512,29514
45,WB04J2554,28295
46,WB04J2572,30717
47,WB04J2583,28691
48,WB04J2596,29830
49,WB04J2599,26752
50,WB04J2647,33676
51,WB05A0167,52280
52,WB05A0177,101046
53,WB05A0273,48431
54,WB05A0292,60904
55,WB05A0330,62778
56,WB05A0867,49213
57,WB05A0941,49781
58,WB05A0949,42158
59,WB05A0966,44675
60,WB05A1558,34126
61,WB05A1562,58294
62,WB05A1567,32429
63,WB05A1568,33244
64,WB05A1593,36795
65,WB05A1601,34742
66,WB05A1603,32847
67,WB05A1605,37400
68,WB05A1607,35719
69,WB05A1608,26697
70,WB05A1613,34223
71,WB05A1616,66243
72,WB05A1624,36813
73,WB05A1627,34830
74,WB05A1628,37314
75,WB05A1630,37761
76,WB05A1631,31198
77,WB05A1635,33716
78,WB05A1636,437841
79,WB05A1637,34617
80,WB05A1639,32961
81,WB05A1642,32606
82,WB05A1643,33997
83,WB05A1645,31040
84,WB05A1647,38078
85,WB05A1649,38611
86,WB05A1658,32142
87,WB05A1659,99124
88,WB05A1669,35516
89,WB05A1671,37881
90,WB05A1672,34866
91,WB05A1681,33188
92,WB05A1682,35097
93,WB05A1695,35726
94,WB05A1696,319553
95,WB05A1698,221687
96,WB05A1744,299447
97,WB05A1899,31063
98,WB07K0604,58324
99,WB07K0612,68408
100,WB07K0616,42072
101,WB07K0619,58965
102,WB07K0649,66834
103,WB07K1805,33486
104,WB07K1810,34232
105,WB07K1812,31529
106,WB07K1816,33941
107,WB07K1817,29571
108,WB07K1819,32924
109,WB07K1822,22153
110,WB07K1824,30478
111,WB07K1826,35173
112,WB07K1837,37198
113,WB07K1842,35020
114,WB07K1844,28583
115,WB07K1845,30834
116,WB07K1847,34568
117,WB07K1878,34163
118,WB19L7413,34065
119,WB19L7414,33019
120,WB19L7419,32766
121,WB19L7422,32229
122,WB19L7423,32674
123,WB19L7424,44078
124,WB19L7434,254876
125,WB19L7446,30642
126,WB19L7450,32142
127,WB19L7529,30986
128,WB19L7534,36044
129,WB19L7538,33392
130,WB19L7544,31805
131,WB19L7549,40959
132,WB19l7422,24083
133,wb04j2261,21849
134,wb04j2272,30144
135,wb04j2446,32259
136,wb05a1601,31103
137,wb05a1643,30884
