,ds,y
0,2024-05-22 00:00:00,31
1,2024-05-22 01:00:00,27
2,2024-05-22 02:00:00,10
3,2024-05-22 03:00:00,8
4,2024-05-22 04:00:00,29
5,2024-05-22 05:00:00,46
6,2024-05-22 06:00:00,41
7,2024-05-22 07:00:00,88
8,2024-05-22 08:00:00,225
9,2024-05-22 09:00:00,474
10,2024-05-22 10:00:00,524
11,2024-05-22 11:00:00,511
12,2024-05-22 12:00:00,378
13,2024-05-22 13:00:00,333
14,2024-05-22 14:00:00,513
15,2024-05-22 15:00:00,635
16,2024-05-22 16:00:00,505
17,2024-05-22 17:00:00,472
18,2024-05-22 18:00:00,537
19,2024-05-22 19:00:00,703
20,2024-05-22 20:00:00,472
21,2024-05-22 21:00:00,296
22,2024-05-22 22:00:00,216
23,2024-05-22 23:00:00,122
24,2024-05-23 00:00:00,52
25,2024-05-23 01:00:00,21
26,2024-05-23 02:00:00,17
27,2024-05-23 03:00:00,11
28,2024-05-23 04:00:00,40
29,2024-05-23 05:00:00,72
30,2024-05-23 06:00:00,45
31,2024-05-23 07:00:00,87
32,2024-05-23 08:00:00,198
33,2024-05-23 09:00:00,423
34,2024-05-23 10:00:00,505
35,2024-05-23 11:00:00,406
36,2024-05-23 12:00:00,345
37,2024-05-23 13:00:00,305
38,2024-05-23 14:00:00,334
39,2024-05-23 15:00:00,266
40,2024-05-23 16:00:00,358
41,2024-05-23 17:00:00,399
42,2024-05-23 18:00:00,442
43,2024-05-23 19:00:00,505
44,2024-05-23 20:00:00,397
45,2024-05-23 21:00:00,255
46,2024-05-23 22:00:00,178
47,2024-05-23 23:00:00,90
48,2024-05-24 00:00:00,30
49,2024-05-24 01:00:00,21
50,2024-05-24 02:00:00,9
51,2024-05-24 03:00:00,21
52,2024-05-24 04:00:00,74
53,2024-05-24 05:00:00,71
54,2024-05-24 06:00:00,30
55,2024-05-24 07:00:00,83
56,2024-05-24 08:00:00,263
57,2024-05-24 09:00:00,537
58,2024-05-24 10:00:00,560
59,2024-05-24 11:00:00,535
60,2024-05-24 12:00:00,429
61,2024-05-24 13:00:00,435
62,2024-05-24 14:00:00,323
63,2024-05-24 15:00:00,301
64,2024-05-24 16:00:00,446
65,2024-05-24 17:00:00,495
66,2024-05-24 18:00:00,619
67,2024-05-24 19:00:00,673
68,2024-05-24 20:00:00,561
69,2024-05-24 21:00:00,372
70,2024-05-24 22:00:00,229
71,2024-05-24 23:00:00,133
72,2024-05-25 00:00:00,79
73,2024-05-25 01:00:00,27
74,2024-05-25 02:00:00,23
75,2024-05-25 03:00:00,24
76,2024-05-25 04:00:00,60
77,2024-05-25 05:00:00,82
78,2024-05-25 06:00:00,58
79,2024-05-25 07:00:00,80
80,2024-05-25 08:00:00,140
81,2024-05-25 09:00:00,254
82,2024-05-25 10:00:00,394
83,2024-05-25 11:00:00,469
84,2024-05-25 12:00:00,430
85,2024-05-25 13:00:00,447
86,2024-05-25 14:00:00,414
87,2024-05-25 15:00:00,419
88,2024-05-25 16:00:00,497
89,2024-05-25 17:00:00,474
90,2024-05-25 18:00:00,583
91,2024-05-25 19:00:00,687
92,2024-05-25 20:00:00,442
93,2024-05-25 21:00:00,312
94,2024-05-25 22:00:00,238
95,2024-05-25 23:00:00,122
96,2024-05-26 00:00:00,63
97,2024-05-26 01:00:00,28
98,2024-05-26 02:00:00,31
99,2024-05-26 03:00:00,25
100,2024-05-26 04:00:00,47
101,2024-05-26 05:00:00,58
102,2024-05-26 06:00:00,68
103,2024-05-26 07:00:00,99
104,2024-05-26 08:00:00,93
105,2024-05-26 09:00:00,127
106,2024-05-26 10:00:00,183
107,2024-05-26 11:00:00,254
108,2024-05-26 12:00:00,245
109,2024-05-26 13:00:00,305
110,2024-05-26 14:00:00,270
111,2024-05-26 15:00:00,213
112,2024-05-26 16:00:00,289
113,2024-05-26 17:00:00,249
114,2024-05-26 18:00:00,292
115,2024-05-26 19:00:00,245
116,2024-05-26 20:00:00,174
117,2024-05-26 21:00:00,232
118,2024-05-26 22:00:00,263
119,2024-05-26 23:00:00,160
120,2024-05-27 00:00:00,75
121,2024-05-27 01:00:00,50
122,2024-05-27 02:00:00,27
123,2024-05-27 03:00:00,52
124,2024-05-27 04:00:00,117
125,2024-05-27 05:00:00,186
126,2024-05-27 06:00:00,202
127,2024-05-27 07:00:00,253
128,2024-05-27 08:00:00,719
129,2024-05-27 09:00:00,1230
130,2024-05-27 10:00:00,1089
131,2024-05-27 11:00:00,769
132,2024-05-27 12:00:00,564
133,2024-05-27 13:00:00,395
134,2024-05-27 14:00:00,486
135,2024-05-27 15:00:00,513
136,2024-05-27 16:00:00,614
137,2024-05-27 17:00:00,592
138,2024-05-27 18:00:00,579
139,2024-05-27 19:00:00,405
140,2024-05-27 20:00:00,316
141,2024-05-27 21:00:00,229
142,2024-05-27 22:00:00,171
143,2024-05-27 23:00:00,88
144,2024-05-28 00:00:00,63
145,2024-05-28 01:00:00,59
146,2024-05-28 02:00:00,31
147,2024-05-28 03:00:00,30
148,2024-05-28 04:00:00,76
149,2024-05-28 05:00:00,101
150,2024-05-28 06:00:00,63
151,2024-05-28 07:00:00,82
152,2024-05-28 08:00:00,271
153,2024-05-28 09:00:00,551
154,2024-05-28 10:00:00,551
155,2024-05-28 11:00:00,495
156,2024-05-28 12:00:00,335
157,2024-05-28 13:00:00,313
158,2024-05-28 14:00:00,278
159,2024-05-28 15:00:00,274
160,2024-05-28 16:00:00,344
161,2024-05-28 17:00:00,387
162,2024-05-28 18:00:00,643
163,2024-05-28 19:00:00,647
164,2024-05-28 20:00:00,514
165,2024-05-28 21:00:00,335
166,2024-05-28 22:00:00,168
167,2024-05-28 23:00:00,70
168,2024-05-29 00:00:00,57
169,2024-05-29 01:00:00,16
170,2024-05-29 02:00:00,9
171,2024-05-29 03:00:00,23
172,2024-05-29 04:00:00,53
173,2024-05-29 05:00:00,68
174,2024-05-29 06:00:00,44
175,2024-05-29 07:00:00,78
176,2024-05-29 08:00:00,275
177,2024-05-29 09:00:00,588
178,2024-05-29 10:00:00,643
179,2024-05-29 11:00:00,565
180,2024-05-29 12:00:00,462
181,2024-05-29 13:00:00,371
182,2024-05-29 14:00:00,359
183,2024-05-29 15:00:00,312
184,2024-05-29 16:00:00,400
185,2024-05-29 17:00:00,463
186,2024-05-29 18:00:00,665
187,2024-05-29 19:00:00,726
188,2024-05-29 20:00:00,569
189,2024-05-29 21:00:00,367
190,2024-05-29 22:00:00,208
191,2024-05-29 23:00:00,110
192,2024-05-30 00:00:00,59
193,2024-05-30 01:00:00,29
194,2024-05-30 02:00:00,11
195,2024-05-30 03:00:00,22
196,2024-05-30 04:00:00,51
197,2024-05-30 05:00:00,54
198,2024-05-30 06:00:00,43
199,2024-05-30 07:00:00,74
200,2024-05-30 08:00:00,277
201,2024-05-30 09:00:00,611
202,2024-05-30 10:00:00,626
203,2024-05-30 11:00:00,516
204,2024-05-30 12:00:00,363
205,2024-05-30 13:00:00,315
206,2024-05-30 14:00:00,342
207,2024-05-30 15:00:00,285
208,2024-05-30 16:00:00,401
209,2024-05-30 17:00:00,493
210,2024-05-30 18:00:00,685
211,2024-05-30 19:00:00,845
212,2024-05-30 20:00:00,620
213,2024-05-30 21:00:00,394
214,2024-05-30 22:00:00,196
215,2024-05-30 23:00:00,88
216,2024-05-31 00:00:00,68
217,2024-05-31 01:00:00,28
218,2024-05-31 02:00:00,15
219,2024-05-31 03:00:00,26
220,2024-05-31 04:00:00,58
221,2024-05-31 05:00:00,106
222,2024-05-31 06:00:00,103
223,2024-05-31 07:00:00,174
224,2024-05-31 08:00:00,757
225,2024-05-31 09:00:00,1427
226,2024-05-31 10:00:00,1430
227,2024-05-31 11:00:00,737
228,2024-05-31 12:00:00,419
229,2024-05-31 13:00:00,292
230,2024-05-31 14:00:00,352
231,2024-05-31 15:00:00,354
232,2024-05-31 16:00:00,431
233,2024-05-31 17:00:00,537
234,2024-05-31 18:00:00,872
235,2024-05-31 19:00:00,1043
236,2024-05-31 20:00:00,726
237,2024-05-31 21:00:00,400
238,2024-05-31 22:00:00,217
239,2024-05-31 23:00:00,130
240,2024-06-01 00:00:00,87
241,2024-06-01 01:00:00,45
242,2024-06-01 02:00:00,19
243,2024-06-01 03:00:00,32
244,2024-06-01 04:00:00,82
245,2024-06-01 05:00:00,116
