,ds,y,city_name,locality_name,device_date_time,rain_intensity,rain_accumulation,humidity,temperature,wind_direction,wind_speed
0,2024-04-01 00:00:00,4,Kolkata,Baguihati,2024-04-01 00:00:00,0,0,78.48,29.81,164.6,0.01
1,2024-04-01 01:00:00,3,Kolkata,Baguihati,2024-04-01 01:00:00,0,0,79.25,29.74,45.8,0.28
2,2024-04-01 02:00:00,0,Kolkata,Baguihati,2024-04-01 02:00:00,0,0,78.91,29.64,165.7,0.18
3,2024-04-01 03:00:00,1,Kolkata,Baguihati,2024-04-01 03:00:00,0,0,78.76,29.44,60.1,0.16
4,2024-04-01 04:00:00,6,Kolkata,Baguihati,2024-04-01 04:00:00,0,0,78.44,29.27,157.5,0.02
5,2024-04-01 05:00:00,0,Kolkata,Baguihati,2024-04-01 05:00:00,0,0,77.43,29.08,2.3,0.19
6,2024-04-01 06:00:00,3,Kolkata,Baguihati,2024-04-01 06:00:00,0,0,75.98,29.15,10.5,0.04
7,2024-04-01 07:00:00,2,Kolkata,Baguihati,2024-04-01 07:00:00,0,0,72.81,30.11,167.2,0.02
8,2024-04-01 08:00:00,21,Kolkata,Baguihati,2024-04-01 08:00:00,0,0,67.26,31.61,180.3,0.36
9,2024-04-01 09:00:00,74,Kolkata,Baguihati,2024-04-01 09:00:00,0,0,58.3,33.83,177.6,0.06
10,2024-04-01 10:00:00,110,Kolkata,Baguihati,2024-04-01 10:00:00,0,0,47.32,35.56,339.6,1.26
11,2024-04-01 11:00:00,94,Kolkata,Baguihati,2024-04-01 11:00:00,0,0,38.09,37.15,342.5,0.64
12,2024-04-01 12:00:00,65,Kolkata,Baguihati,2024-04-01 12:00:00,0,0,31.66,38.45,345.1,0.55
13,2024-04-01 13:00:00,42,Kolkata,Baguihati,2024-04-01 13:00:00,0,0,28.54,40.34,337.9,0.46
14,2024-04-01 14:00:00,49,Kolkata,Baguihati,2024-04-01 14:00:00,0,0,25.63,42.37,171.9,0.03
15,2024-04-01 15:00:00,32,Kolkata,Baguihati,2024-04-01 15:00:00,0,0,27.79,41.87,186.3,0.47
16,2024-04-01 16:00:00,21,Kolkata,Baguihati,2024-04-01 16:00:00,0,0,26.72,41.31,349.9,0.37
17,2024-04-01 17:00:00,17,Kolkata,Baguihati,2024-04-01 17:00:00,0,0,30.88,39.49,173.8,0.14
