,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,4,0.0,0.0,29.6,14.0,5.0,6.0,12.0
26,5,0.0,0.0,29.55,4.0,5.0,17.0,3.0
27,1,0.0,0.0,28.98,5.0,7.0,2.0,1.0
28,1,0.0,0.0,28.98,1.0,8.0,10.0,0.0
29,1,0.0,0.0,29.15,1.0,7.0,5.0,1.0
30,1,0.0,0.0,29.04,1.0,10.0,5.0,2.0
31,2,0.0,0.0,28.87,1.0,2.0,7.0,0.0
32,1,0.0,0.0,30.61,2.0,14.0,8.0,0.0
33,11,0.0,0.0,32.56,1.0,4.0,7.0,9.0
34,36,0.0,0.0,34.42,11.0,5.0,10.0,54.0
35,21,0.0,0.0,35.97,36.0,1.0,2.0,37.0
36,30,0.0,0.0,36.52,21.0,1.0,14.0,21.0
37,9,0.0,0.0,37.59,30.0,1.0,4.0,6.0
38,7,0.0,0.0,39.01,9.0,1.0,5.0,17.0
39,8,0.0,0.0,38.85,7.0,2.0,1.0,2.0
40,8,0.0,0.0,39.16,8.0,1.0,1.0,10.0
41,8,0.0,0.0,37.69,8.0,11.0,1.0,5.0
42,5,0.0,0.0,36.43,8.0,36.0,1.0,5.0
43,14,0.0,0.0,34.64,5.0,21.0,2.0,7.0
44,9,0.0,0.0,33.57,14.0,30.0,1.0,8.0
45,10,0.0,0.0,32.76,9.0,9.0,11.0,7.0
46,15,0.0,0.0,31.25,10.0,7.0,36.0,10.0
47,3,0.0,0.0,30.22,15.0,8.0,21.0,2.0
48,7,0.0,0.0,29.71,3.0,8.0,30.0,14.0
49,2,0.0,0.0,29.25,7.0,8.0,9.0,4.0
50,0,0.0,0.0,28.96,2.0,5.0,7.0,5.0
51,3,0.0,0.0,28.53,0.0,14.0,8.0,1.0
52,1,0.0,0.0,28.48,3.0,9.0,8.0,1.0
53,0,0.0,0.0,28.49,1.0,10.0,8.0,1.0
54,0,0.0,0.0,28.4,0.0,15.0,5.0,1.0
55,3,0.0,0.0,28.5,0.0,3.0,14.0,2.0
56,5,0.0,0.0,29.65,3.0,7.0,9.0,1.0
57,7,0.0,0.0,32.36,5.0,2.0,10.0,11.0
58,40,0.0,0.0,33.98,7.0,0.0,15.0,36.0
59,35,0.0,0.0,35.25,40.0,3.0,3.0,21.0
60,24,0.0,0.0,36.68,35.0,1.0,7.0,30.0
61,23,0.0,0.0,37.92,24.0,0.0,2.0,9.0
62,10,0.0,0.0,39.89,23.0,0.0,0.0,7.0
63,3,0.0,0.0,39.28,10.0,3.0,3.0,8.0
64,5,0.0,0.0,39.02,3.0,5.0,1.0,8.0
65,4,0.0,0.0,37.45,5.0,7.0,0.0,8.0
66,3,0.0,0.0,35.86,4.0,40.0,0.0,5.0
67,8,0.0,0.0,34.06,3.0,35.0,3.0,14.0
68,10,0.0,0.0,31.83,8.0,24.0,5.0,9.0
69,10,0.0,0.0,30.67,10.0,23.0,7.0,10.0
70,11,0.0,0.0,29.78,10.0,10.0,40.0,15.0
71,2,0.0,0.0,29.28,11.0,3.0,35.0,3.0
72,8,0.0,0.0,29.06,2.0,5.0,24.0,7.0
73,9,0.0,0.0,28.72,8.0,4.0,23.0,2.0
74,1,0.0,0.0,28.6,9.0,3.0,10.0,0.0
