,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,0,0.0,0.0,29.6,2.0,21.0,65.0,4.0
26,3,0.0,0.0,29.55,0.0,17.0,42.0,3.0
27,0,0.0,0.0,28.98,3.0,16.0,49.0,0.0
28,1,0.0,0.0,28.98,0.0,21.0,32.0,1.0
29,0,0.0,0.0,29.15,1.0,18.0,21.0,6.0
30,3,0.0,0.0,29.04,0.0,15.0,17.0,0.0
31,1,0.0,0.0,28.87,3.0,6.0,16.0,3.0
32,6,0.0,0.0,30.61,1.0,2.0,21.0,2.0
33,25,0.0,0.0,32.56,6.0,0.0,18.0,21.0
34,66,0.0,0.0,34.42,25.0,3.0,15.0,74.0
35,76,0.0,0.0,35.97,66.0,0.0,6.0,110.0
36,59,0.0,0.0,36.52,76.0,1.0,2.0,94.0
37,47,0.0,0.0,37.59,59.0,0.0,0.0,65.0
38,27,0.0,0.0,39.01,47.0,3.0,3.0,42.0
39,34,0.0,0.0,38.85,27.0,1.0,0.0,49.0
40,24,0.0,0.0,39.16,34.0,6.0,1.0,32.0
41,10,0.0,0.0,37.69,24.0,25.0,0.0,21.0
42,6,0.0,0.0,36.43,10.0,66.0,3.0,17.0
43,20,0.0,0.0,34.64,6.0,76.0,1.0,16.0
44,10,0.0,0.0,33.57,20.0,59.0,6.0,21.0
45,7,0.0,0.0,32.76,10.0,47.0,25.0,18.0
46,7,0.0,0.0,31.25,7.0,27.0,66.0,15.0
47,3,0.0,0.0,30.22,7.0,34.0,76.0,6.0
48,0,0.0,0.0,29.71,3.0,24.0,59.0,2.0
49,0,0.0,0.0,29.25,0.0,10.0,47.0,0.0
50,0,0.0,0.0,28.96,0.0,6.0,27.0,3.0
51,0,0.0,0.0,28.53,0.0,20.0,34.0,0.0
52,0,0.0,0.0,28.48,0.0,10.0,24.0,1.0
53,1,0.0,0.0,28.49,0.0,7.0,10.0,0.0
54,2,0.0,0.0,28.4,1.0,7.0,6.0,3.0
55,2,0.0,0.0,28.5,2.0,3.0,20.0,1.0
56,4,0.0,0.0,29.65,2.0,0.0,10.0,6.0
57,40,0.0,0.0,32.36,4.0,0.0,7.0,25.0
58,111,0.0,0.0,33.98,40.0,0.0,7.0,66.0
59,103,0.0,0.0,35.25,111.0,0.0,3.0,76.0
60,103,0.0,0.0,36.68,103.0,0.0,0.0,59.0
61,50,0.0,0.0,37.92,103.0,1.0,0.0,47.0
62,54,0.0,0.0,39.89,50.0,2.0,0.0,27.0
63,29,0.0,0.0,39.28,54.0,2.0,0.0,34.0
64,40,0.0,0.0,39.02,29.0,4.0,0.0,24.0
65,21,0.0,0.0,37.45,40.0,40.0,1.0,10.0
66,13,0.0,0.0,35.86,21.0,111.0,2.0,6.0
67,20,0.0,0.0,34.06,13.0,103.0,2.0,20.0
68,21,0.0,0.0,31.83,20.0,103.0,4.0,10.0
69,14,0.0,0.0,30.67,21.0,50.0,40.0,7.0
70,4,0.0,0.0,29.78,14.0,54.0,111.0,7.0
71,2,0.0,0.0,29.28,4.0,29.0,103.0,3.0
72,2,0.0,0.0,29.06,2.0,40.0,103.0,0.0
73,5,0.0,0.0,28.72,2.0,21.0,50.0,0.0
74,0,0.0,0.0,28.6,5.0,13.0,54.0,0.0
75,0,0.0,0.0,28.46,0.0,20.0,29.0,0.0
76,0,0.0,0.0,28.53,0.0,21.0,40.0,0.0
77,2,0.0,0.0,28.37,0.0,14.0,21.0,1.0
78,1,0.0,0.0,28.25,2.0,4.0,13.0,2.0
79,2,0.0,0.0,28.2,1.0,2.0,20.0,2.0
80,4,0.0,0.0,29.23,2.0,2.0,21.0,4.0
81,30,0.0,0.0,31.17,4.0,5.0,14.0,40.0
82,76,0.0,0.0,32.4,30.0,0.0,4.0,111.0
83,91,0.0,0.0,33.89,76.0,0.0,2.0,103.0
84,79,0.0,0.0,35.71,91.0,0.0,2.0,103.0
85,72,0.0,0.0,37.02,79.0,2.0,5.0,50.0
86,51,0.0,0.0,38.04,72.0,1.0,0.0,54.0
87,26,0.0,0.0,38.06,51.0,2.0,0.0,29.0
88,20,0.0,0.0,37.47,26.0,4.0,0.0,40.0
89,19,0.0,0.0,36.01,20.0,30.0,2.0,21.0
90,13,0.0,0.0,34.56,19.0,76.0,1.0,13.0
