,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,2,0.0,0.0,29.6,11.0,56.0,51.0,22.0
26,3,0.0,0.0,29.55,2.0,96.0,23.0,4.0
27,0,0.0,0.0,28.98,3.0,114.0,44.0,2.0
28,3,0.0,0.0,28.98,0.0,135.0,58.0,4.0
29,4,0.0,0.0,29.15,3.0,75.0,56.0,5.0
30,4,0.0,0.0,29.04,4.0,48.0,96.0,1.0
31,7,0.0,0.0,28.87,4.0,20.0,114.0,5.0
32,6,0.0,0.0,30.61,7.0,11.0,135.0,10.0
33,12,0.0,0.0,32.56,6.0,2.0,75.0,15.0
34,45,0.0,0.0,34.42,12.0,3.0,48.0,55.0
35,56,0.0,0.0,35.97,45.0,0.0,20.0,69.0
36,36,0.0,0.0,36.52,56.0,3.0,11.0,71.0
37,48,0.0,0.0,37.59,36.0,4.0,2.0,51.0
38,22,0.0,0.0,39.01,48.0,4.0,3.0,23.0
39,37,0.0,0.0,38.85,22.0,7.0,0.0,44.0
40,25,0.0,0.0,39.16,37.0,6.0,3.0,58.0
41,45,0.0,0.0,37.69,25.0,12.0,4.0,56.0
42,66,0.0,0.0,36.43,45.0,45.0,4.0,96.0
43,66,0.0,0.0,34.64,66.0,56.0,7.0,114.0
44,98,0.0,0.0,33.57,66.0,36.0,6.0,135.0
45,75,0.0,0.0,32.76,98.0,48.0,12.0,75.0
46,50,0.0,0.0,31.25,75.0,22.0,45.0,48.0
47,19,0.0,0.0,30.22,50.0,37.0,56.0,20.0
48,2,0.0,0.0,29.71,19.0,25.0,36.0,11.0
49,0,0.0,0.0,29.25,2.0,45.0,48.0,2.0
50,4,0.0,0.0,28.96,0.0,66.0,22.0,3.0
51,1,0.0,0.0,28.53,4.0,66.0,37.0,0.0
52,0,0.0,0.0,28.48,1.0,98.0,25.0,3.0
53,1,0.0,0.0,28.49,0.0,75.0,45.0,4.0
54,4,0.0,0.0,28.4,1.0,50.0,66.0,4.0
55,2,0.0,0.0,28.5,4.0,19.0,66.0,7.0
56,2,0.0,0.0,29.65,2.0,2.0,98.0,6.0
57,18,0.0,0.0,32.36,2.0,0.0,75.0,12.0
58,35,0.0,0.0,33.98,18.0,4.0,50.0,45.0
59,54,0.0,0.0,35.25,35.0,1.0,19.0,56.0
60,20,0.0,0.0,36.68,54.0,0.0,2.0,36.0
61,42,0.0,0.0,37.92,20.0,1.0,0.0,48.0
62,28,0.0,0.0,39.89,42.0,4.0,4.0,22.0
63,30,0.0,0.0,39.28,28.0,2.0,1.0,37.0
64,18,0.0,0.0,39.02,30.0,2.0,0.0,25.0
65,30,0.0,0.0,37.45,18.0,18.0,1.0,45.0
66,60,0.0,0.0,35.86,30.0,35.0,4.0,66.0
67,62,0.0,0.0,34.06,60.0,54.0,2.0,66.0
68,94,0.0,0.0,31.83,62.0,20.0,2.0,98.0
69,88,0.0,0.0,30.67,94.0,42.0,18.0,75.0
70,27,0.0,0.0,29.78,88.0,28.0,35.0,50.0
71,11,0.0,0.0,29.28,27.0,30.0,54.0,19.0
72,2,0.0,0.0,29.06,11.0,18.0,20.0,2.0
73,4,0.0,0.0,28.72,2.0,30.0,42.0,0.0
74,0,0.0,0.0,28.6,4.0,60.0,28.0,4.0
75,3,0.0,0.0,28.46,0.0,62.0,30.0,1.0
76,0,0.0,0.0,28.53,3.0,94.0,18.0,0.0
77,1,0.0,0.0,28.37,0.0,88.0,30.0,1.0
78,0,0.0,0.0,28.25,1.0,27.0,60.0,4.0
79,3,0.0,0.0,28.2,0.0,11.0,62.0,2.0
80,13,0.0,0.0,29.23,3.0,2.0,94.0,2.0
81,27,0.0,0.0,31.17,13.0,4.0,88.0,18.0
82,33,0.0,0.0,32.4,27.0,0.0,27.0,35.0
83,40,0.0,0.0,33.89,33.0,3.0,11.0,54.0
84,23,0.0,0.0,35.71,40.0,0.0,2.0,20.0
85,41,0.0,0.0,37.02,23.0,1.0,4.0,42.0
86,25,0.0,0.0,38.04,41.0,0.0,0.0,28.0
87,22,0.0,0.0,38.06,25.0,3.0,3.0,30.0
88,43,0.0,0.0,37.47,22.0,13.0,0.0,18.0
89,60,0.0,0.0,36.01,43.0,27.0,1.0,30.0
90,69,0.0,0.0,34.56,60.0,33.0,0.0,60.0
91,85,0.0,0.0,32.77,69.0,40.0,3.0,62.0
92,81,0.0,0.0,31.32,85.0,23.0,13.0,94.0
93,63,0.0,0.0,30.51,81.0,41.0,27.0,88.0
94,17,0.0,0.0,30.0,63.0,25.0,33.0,27.0
95,10,0.0,0.0,30.14,17.0,22.0,40.0,11.0
96,2,0.0,0.0,29.76,10.0,43.0,23.0,2.0
