,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,2,0.0,0.0,29.6,4.0,28.0,3.0,2.0
26,0,0.0,0.0,29.55,2.0,24.0,5.0,0.0
27,0,0.0,0.0,28.98,0.0,69.0,12.0,3.0
28,0,0.0,0.0,28.98,0.0,52.0,8.0,0.0
29,1,0.0,0.0,29.15,0.0,27.0,28.0,0.0
30,2,0.0,0.0,29.04,1.0,8.0,24.0,1.0
31,0,0.0,0.0,28.87,2.0,8.0,69.0,0.0
32,0,0.0,0.0,30.61,0.0,4.0,52.0,1.0
33,6,0.0,0.0,32.56,0.0,2.0,27.0,1.0
34,14,0.0,0.0,34.42,6.0,0.0,8.0,12.0
35,4,0.0,0.0,35.97,14.0,0.0,8.0,5.0
36,1,0.0,0.0,36.52,4.0,0.0,4.0,4.0
37,5,0.0,0.0,37.59,1.0,1.0,2.0,3.0
38,4,0.0,0.0,39.01,5.0,2.0,0.0,5.0
39,4,0.0,0.0,38.85,4.0,0.0,0.0,12.0
40,7,0.0,0.0,39.16,4.0,0.0,0.0,8.0
41,12,0.0,0.0,37.69,7.0,6.0,1.0,28.0
42,26,0.0,0.0,36.43,12.0,14.0,2.0,24.0
43,79,0.0,0.0,34.64,26.0,4.0,0.0,69.0
44,36,0.0,0.0,33.57,79.0,1.0,0.0,52.0
45,15,0.0,0.0,32.76,36.0,5.0,6.0,27.0
46,5,0.0,0.0,31.25,15.0,4.0,14.0,8.0
47,1,0.0,0.0,30.22,5.0,4.0,4.0,8.0
48,3,0.0,0.0,29.71,1.0,7.0,1.0,4.0
49,1,0.0,0.0,29.25,3.0,12.0,5.0,2.0
50,2,0.0,0.0,28.96,1.0,26.0,4.0,0.0
51,0,0.0,0.0,28.53,2.0,79.0,4.0,0.0
52,0,0.0,0.0,28.48,0.0,36.0,7.0,0.0
53,0,0.0,0.0,28.49,0.0,15.0,12.0,1.0
54,2,0.0,0.0,28.4,0.0,5.0,26.0,2.0
55,0,0.0,0.0,28.5,2.0,1.0,79.0,0.0
56,1,0.0,0.0,29.65,0.0,3.0,36.0,0.0
57,1,0.0,0.0,32.36,1.0,1.0,15.0,6.0
58,13,0.0,0.0,33.98,1.0,2.0,5.0,14.0
59,15,0.0,0.0,35.25,13.0,0.0,1.0,4.0
60,6,0.0,0.0,36.68,15.0,0.0,3.0,1.0
61,4,0.0,0.0,37.92,6.0,0.0,1.0,5.0
62,4,0.0,0.0,39.89,4.0,2.0,2.0,4.0
63,6,0.0,0.0,39.28,4.0,0.0,0.0,4.0
64,11,0.0,0.0,39.02,6.0,1.0,0.0,7.0
65,19,0.0,0.0,37.45,11.0,1.0,0.0,12.0
66,54,0.0,0.0,35.86,19.0,13.0,2.0,26.0
67,98,0.0,0.0,34.06,54.0,15.0,0.0,79.0
68,72,0.0,0.0,31.83,98.0,6.0,1.0,36.0
69,32,0.0,0.0,30.67,72.0,4.0,1.0,15.0
70,12,0.0,0.0,29.78,32.0,4.0,13.0,5.0
71,1,0.0,0.0,29.28,12.0,6.0,15.0,1.0
72,1,0.0,0.0,29.06,1.0,11.0,6.0,3.0
73,2,0.0,0.0,28.72,1.0,19.0,4.0,1.0
74,5,0.0,0.0,28.6,2.0,54.0,4.0,2.0
75,0,0.0,0.0,28.46,5.0,98.0,6.0,0.0
76,0,0.0,0.0,28.53,0.0,72.0,11.0,0.0
77,0,0.0,0.0,28.37,0.0,32.0,19.0,0.0
78,3,0.0,0.0,28.25,0.0,12.0,54.0,2.0
79,0,0.0,0.0,28.2,3.0,1.0,98.0,0.0
80,0,0.0,0.0,29.23,0.0,1.0,72.0,1.0
81,5,0.0,0.0,31.17,0.0,2.0,32.0,1.0
82,8,0.0,0.0,32.4,5.0,5.0,12.0,13.0
83,8,0.0,0.0,33.89,8.0,0.0,1.0,15.0
84,4,0.0,0.0,35.71,8.0,0.0,1.0,6.0
85,6,0.0,0.0,37.02,4.0,0.0,2.0,4.0
86,7,0.0,0.0,38.04,6.0,3.0,5.0,4.0
87,8,0.0,0.0,38.06,7.0,0.0,0.0,6.0
88,11,0.0,0.0,37.47,8.0,0.0,0.0,11.0
89,14,0.0,0.0,36.01,11.0,5.0,0.0,19.0
90,46,0.0,0.0,34.56,14.0,8.0,3.0,54.0
91,107,0.0,0.0,32.77,46.0,8.0,0.0,98.0
92,91,0.0,0.0,31.32,107.0,4.0,0.0,72.0
93,47,0.0,0.0,30.51,91.0,6.0,5.0,32.0
94,10,0.0,0.0,30.0,47.0,7.0,8.0,12.0
95,13,0.0,0.0,30.14,10.0,8.0,8.0,1.0
96,3,0.0,0.0,29.76,13.0,11.0,4.0,1.0
97,2,0.0,0.0,29.42,3.0,14.0,6.0,2.0
98,1,0.0,0.0,29.48,2.0,46.0,7.0,5.0
