,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,0,0.0,0.0,29.6,3.0,29.0,12.0,5.0
26,0,0.0,0.0,29.55,0.0,50.0,13.0,0.0
27,0,0.0,0.0,28.98,0.0,61.0,21.0,0.0
28,1,0.0,0.0,28.98,0.0,58.0,26.0,2.0
29,0,0.0,0.0,29.15,1.0,33.0,29.0,2.0
30,0,0.0,0.0,29.04,0.0,38.0,50.0,4.0
31,0,0.0,0.0,28.87,0.0,9.0,61.0,3.0
32,1,0.0,0.0,30.61,0.0,3.0,58.0,3.0
33,0,0.0,0.0,32.56,1.0,0.0,33.0,3.0
34,7,0.0,0.0,34.42,0.0,0.0,38.0,0.0
35,5,0.0,0.0,35.97,7.0,0.0,9.0,11.0
36,6,0.0,0.0,36.52,5.0,1.0,3.0,6.0
37,2,0.0,0.0,37.59,6.0,0.0,0.0,12.0
38,4,0.0,0.0,39.01,2.0,0.0,0.0,13.0
39,17,0.0,0.0,38.85,4.0,0.0,0.0,21.0
40,30,0.0,0.0,39.16,17.0,1.0,1.0,26.0
41,34,0.0,0.0,37.69,30.0,0.0,0.0,29.0
42,38,0.0,0.0,36.43,34.0,7.0,0.0,50.0
43,52,0.0,0.0,34.64,38.0,5.0,0.0,61.0
44,56,0.0,0.0,33.57,52.0,6.0,1.0,58.0
45,22,0.0,0.0,32.76,56.0,2.0,0.0,33.0
46,17,0.0,0.0,31.25,22.0,4.0,7.0,38.0
47,11,0.0,0.0,30.22,17.0,17.0,5.0,9.0
48,7,0.0,0.0,29.71,11.0,30.0,6.0,3.0
49,0,0.0,0.0,29.25,7.0,34.0,2.0,0.0
50,0,0.0,0.0,28.96,0.0,38.0,4.0,0.0
51,1,0.0,0.0,28.53,0.0,52.0,17.0,0.0
52,0,0.0,0.0,28.48,1.0,56.0,30.0,1.0
53,0,0.0,0.0,28.49,0.0,22.0,34.0,0.0
54,1,0.0,0.0,28.4,0.0,17.0,38.0,0.0
55,0,0.0,0.0,28.5,1.0,11.0,52.0,0.0
56,0,0.0,0.0,29.65,0.0,7.0,56.0,1.0
57,3,0.0,0.0,32.36,0.0,0.0,22.0,0.0
58,6,0.0,0.0,33.98,3.0,0.0,17.0,7.0
59,13,0.0,0.0,35.25,6.0,1.0,11.0,5.0
60,13,0.0,0.0,36.68,13.0,0.0,7.0,6.0
61,21,0.0,0.0,37.92,13.0,0.0,0.0,2.0
62,18,0.0,0.0,39.89,21.0,1.0,0.0,4.0
63,18,0.0,0.0,39.28,18.0,0.0,1.0,17.0
64,8,0.0,0.0,39.02,18.0,0.0,0.0,30.0
65,19,0.0,0.0,37.45,8.0,3.0,0.0,34.0
66,28,0.0,0.0,35.86,19.0,6.0,1.0,38.0
67,54,0.0,0.0,34.06,28.0,13.0,0.0,52.0
68,62,0.0,0.0,31.83,54.0,13.0,0.0,56.0
69,28,0.0,0.0,30.67,62.0,21.0,3.0,22.0
70,28,0.0,0.0,29.78,28.0,18.0,6.0,17.0
71,22,0.0,0.0,29.28,28.0,18.0,13.0,11.0
72,5,0.0,0.0,29.06,22.0,8.0,13.0,7.0
73,3,0.0,0.0,28.72,5.0,19.0,21.0,0.0
74,1,0.0,0.0,28.6,3.0,28.0,18.0,0.0
75,0,0.0,0.0,28.46,1.0,54.0,18.0,1.0
76,0,0.0,0.0,28.53,0.0,62.0,8.0,0.0
77,0,0.0,0.0,28.37,0.0,28.0,19.0,0.0
78,1,0.0,0.0,28.25,0.0,28.0,28.0,1.0
79,0,0.0,0.0,28.2,1.0,22.0,54.0,0.0
80,0,0.0,0.0,29.23,0.0,5.0,62.0,0.0
81,3,0.0,0.0,31.17,0.0,3.0,28.0,3.0
82,4,0.0,0.0,32.4,3.0,1.0,28.0,6.0
83,9,0.0,0.0,33.89,4.0,0.0,22.0,13.0
84,11,0.0,0.0,35.71,9.0,0.0,5.0,13.0
85,9,0.0,0.0,37.02,11.0,0.0,3.0,21.0
86,8,0.0,0.0,38.04,9.0,1.0,1.0,18.0
87,16,0.0,0.0,38.06,8.0,0.0,0.0,18.0
88,27,0.0,0.0,37.47,16.0,0.0,0.0,8.0
89,24,0.0,0.0,36.01,27.0,3.0,0.0,19.0
90,30,0.0,0.0,34.56,24.0,4.0,1.0,28.0
91,59,0.0,0.0,32.77,30.0,9.0,0.0,54.0
92,62,0.0,0.0,31.32,59.0,11.0,0.0,62.0
93,22,0.0,0.0,30.51,62.0,9.0,3.0,28.0
94,14,0.0,0.0,30.0,22.0,8.0,4.0,28.0
95,9,0.0,0.0,30.14,14.0,16.0,9.0,22.0
96,10,0.0,0.0,29.76,9.0,27.0,11.0,5.0
97,0,0.0,0.0,29.42,10.0,24.0,9.0,3.0
98,0,0.0,0.0,29.48,0.0,30.0,8.0,1.0
99,1,0.0,0.0,29.13,0.0,59.0,16.0,0.0
100,0,0.0,0.0,28.81,1.0,62.0,27.0,0.0
101,0,0.0,0.0,28.89,0.0,22.0,24.0,0.0
102,4,0.0,0.0,28.96,0.0,14.0,30.0,1.0
103,2,0.0,0.0,28.92,4.0,9.0,59.0,0.0
104,0,0.0,0.0,29.55,2.0,10.0,62.0,0.0
105,2,0.0,0.0,31.04,0.0,0.0,22.0,3.0
106,6,0.0,0.0,32.38,2.0,0.0,14.0,4.0
107,9,0.0,0.0,35.12,6.0,1.0,9.0,9.0
108,9,0.0,0.0,36.35,9.0,0.0,10.0,11.0
109,25,0.0,0.0,37.7,9.0,0.0,0.0,9.0
110,9,0.0,0.0,38.54,25.0,4.0,0.0,8.0
111,36,0.0,0.0,39.54,9.0,2.0,1.0,16.0
112,32,0.0,0.0,39.69,36.0,0.0,0.0,27.0
113,33,0.0,0.0,38.21,32.0,2.0,0.0,24.0
114,58,0.0,0.0,36.11,33.0,6.0,4.0,30.0
115,89,0.0,0.0,34.54,58.0,9.0,2.0,59.0
116,85,0.0,0.0,34.29,89.0,9.0,0.0,62.0
117,54,0.0,0.0,31.05,85.0,25.0,2.0,22.0
118,51,0.0,0.0,30.82,54.0,9.0,6.0,14.0
119,32,0.0,0.0,30.22,51.0,36.0,9.0,9.0
120,16,0.0,0.0,30.07,32.0,32.0,9.0,10.0
121,5,0.0,0.0,29.99,16.0,33.0,25.0,0.0
122,1,0.0,0.0,29.89,5.0,58.0,9.0,0.0
123,1,0.0,0.0,29.64,1.0,89.0,36.0,1.0
124,0,0.0,0.0,29.83,1.0,85.0,32.0,0.0
125,0,0.0,0.0,29.53,0.0,54.0,33.0,0.0
126,2,0.0,0.0,29.59,0.0,51.0,58.0,4.0
