,y,rain_intensity,rain_accumulation,temperature,lag_1,lag_8,lag_12,lag_24
25,12,0.0,0.0,29.6,46.0,247.0,260.0,64.0
26,19,0.0,0.0,29.55,12.0,295.0,215.0,17.0
27,5,0.0,0.0,28.98,19.0,432.0,259.0,9.0
28,10,0.0,0.0,28.98,5.0,457.0,246.0,21.0
29,9,0.0,0.0,29.15,10.0,270.0,247.0,23.0
30,17,0.0,0.0,29.04,9.0,187.0,295.0,27.0
31,12,0.0,0.0,28.87,17.0,82.0,432.0,19.0
32,27,0.0,0.0,30.61,12.0,46.0,457.0,35.0
33,118,0.0,0.0,32.56,27.0,12.0,270.0,107.0
34,373,0.0,0.0,34.42,118.0,19.0,187.0,380.0
35,372,0.0,0.0,35.97,373.0,5.0,82.0,474.0
36,278,0.0,0.0,36.52,372.0,10.0,46.0,404.0
37,215,0.0,0.0,37.59,278.0,9.0,12.0,260.0
38,154,0.0,0.0,39.01,215.0,17.0,19.0,215.0
39,187,0.0,0.0,38.85,154.0,12.0,5.0,259.0
40,188,0.0,0.0,39.16,187.0,27.0,10.0,246.0
41,190,0.0,0.0,37.69,188.0,118.0,9.0,247.0
42,232,0.0,0.0,36.43,190.0,373.0,17.0,295.0
43,353,0.0,0.0,34.64,232.0,372.0,12.0,432.0
44,332,0.0,0.0,33.57,353.0,278.0,27.0,457.0
45,211,0.0,0.0,32.76,332.0,215.0,118.0,270.0
46,148,0.0,0.0,31.25,211.0,154.0,373.0,187.0
47,58,0.0,0.0,30.22,148.0,187.0,372.0,82.0
48,27,0.0,0.0,29.71,58.0,188.0,278.0,46.0
49,11,0.0,0.0,29.25,27.0,190.0,215.0,12.0
50,10,0.0,0.0,28.96,11.0,232.0,154.0,19.0
51,6,0.0,0.0,28.53,10.0,353.0,187.0,5.0
52,3,0.0,0.0,28.48,6.0,332.0,188.0,10.0
53,7,0.0,0.0,28.49,3.0,211.0,190.0,9.0
54,19,0.0,0.0,28.4,7.0,148.0,232.0,17.0
55,13,0.0,0.0,28.5,19.0,58.0,353.0,12.0
56,21,0.0,0.0,29.65,13.0,27.0,332.0,27.0
57,146,0.0,0.0,32.36,21.0,11.0,211.0,118.0
58,461,0.0,0.0,33.98,146.0,10.0,148.0,373.0
59,458,0.0,0.0,35.25,461.0,6.0,58.0,372.0
60,373,0.0,0.0,36.68,458.0,3.0,27.0,278.0
61,284,0.0,0.0,37.92,373.0,7.0,11.0,215.0
62,244,0.0,0.0,39.89,284.0,19.0,10.0,154.0
63,214,0.0,0.0,39.28,244.0,13.0,6.0,187.0
64,184,0.0,0.0,39.02,214.0,21.0,3.0,188.0
65,172,0.0,0.0,37.45,184.0,146.0,7.0,190.0
66,252,0.0,0.0,35.86,172.0,461.0,19.0,232.0
67,368,0.0,0.0,34.06,252.0,458.0,13.0,353.0
68,435,0.0,0.0,31.83,368.0,373.0,21.0,332.0
69,283,0.0,0.0,30.67,435.0,284.0,146.0,211.0
70,162,0.0,0.0,29.78,283.0,244.0,461.0,148.0
71,69,0.0,0.0,29.28,162.0,214.0,458.0,58.0
72,44,0.0,0.0,29.06,69.0,184.0,373.0,27.0
