,createdDate,y_x,y_y
0,2024-05-26 00:00:00,91,28
1,2024-05-26 01:00:00,37,8
2,2024-05-26 02:00:00,37,5
3,2024-05-26 03:00:00,29,5
4,2024-05-26 04:00:00,44,7
5,2024-05-26 05:00:00,63,13
6,2024-05-26 06:00:00,76,16
7,2024-05-26 07:00:00,114,31
8,2024-05-26 08:00:00,115,39
9,2024-05-26 09:00:00,158,66
10,2024-05-26 10:00:00,218,99
11,2024-05-26 11:00:00,343,121
12,2024-05-26 12:00:00,308,116
13,2024-05-26 13:00:00,382,141
14,2024-05-26 14:00:00,320,114
15,2024-05-26 15:00:00,240,98
16,2024-05-26 16:00:00,374,119
17,2024-05-26 17:00:00,313,124
18,2024-05-26 18:00:00,383,121
19,2024-05-26 19:00:00,318,74
20,2024-05-26 20:00:00,222,39
21,2024-05-26 21:00:00,324,23
22,2024-05-26 22:00:00,371,6
23,2024-05-26 23:00:00,233,3
24,2024-05-27 00:00:00,116,0
25,2024-05-27 01:00:00,64,1
26,2024-05-27 02:00:00,39,0
27,2024-05-27 03:00:00,71,0
28,2024-05-27 04:00:00,157,3
29,2024-05-27 05:00:00,268,6
30,2024-05-27 06:00:00,266,15
31,2024-05-27 07:00:00,344,30
32,2024-05-27 08:00:00,975,46
33,2024-05-27 09:00:00,1792,100
34,2024-05-27 10:00:00,1598,135
35,2024-05-27 11:00:00,1131,140
36,2024-05-27 12:00:00,781,140
37,2024-05-27 13:00:00,503,131
38,2024-05-27 14:00:00,642,157
39,2024-05-27 15:00:00,660,152
40,2024-05-27 16:00:00,820,179
41,2024-05-27 17:00:00,831,175
42,2024-05-27 18:00:00,804,173
43,2024-05-27 19:00:00,541,127
44,2024-05-27 20:00:00,483,129
45,2024-05-27 21:00:00,311,97
46,2024-05-27 22:00:00,230,60
47,2024-05-27 23:00:00,132,35
48,2024-05-28 00:00:00,87,14
49,2024-05-28 01:00:00,75,4
50,2024-05-28 02:00:00,44,0
51,2024-05-28 03:00:00,41,1
52,2024-05-28 04:00:00,77,9
53,2024-05-28 05:00:00,118,19
54,2024-05-28 06:00:00,62,25
55,2024-05-28 07:00:00,87,30
56,2024-05-28 08:00:00,322,108
57,2024-05-28 09:00:00,693,186
58,2024-05-28 10:00:00,709,220
59,2024-05-28 11:00:00,634,201
60,2024-05-28 12:00:00,431,160
61,2024-05-28 13:00:00,362,159
62,2024-05-28 14:00:00,353,172
63,2024-05-28 15:00:00,307,134
64,2024-05-28 16:00:00,441,182
65,2024-05-28 17:00:00,486,186
66,2024-05-28 18:00:00,867,210
67,2024-05-28 19:00:00,879,200
68,2024-05-28 20:00:00,708,160
69,2024-05-28 21:00:00,421,133
70,2024-05-28 22:00:00,224,91
71,2024-05-28 23:00:00,120,43
72,2024-05-29 00:00:00,86,29
73,2024-05-29 01:00:00,19,5
74,2024-05-29 02:00:00,19,3
75,2024-05-29 03:00:00,22,3
76,2024-05-29 04:00:00,52,19
77,2024-05-29 05:00:00,81,18
78,2024-05-29 06:00:00,53,16
79,2024-05-29 07:00:00,90,48
80,2024-05-29 08:00:00,304,122
81,2024-05-29 09:00:00,759,221
82,2024-05-29 10:00:00,820,253
83,2024-05-29 11:00:00,745,222
84,2024-05-29 12:00:00,591,203
85,2024-05-29 13:00:00,457,187
86,2024-05-29 14:00:00,437,152
87,2024-05-29 15:00:00,383,172
88,2024-05-29 16:00:00,463,168
89,2024-05-29 17:00:00,571,216
90,2024-05-29 18:00:00,893,233
91,2024-05-29 19:00:00,1020,181
92,2024-05-29 20:00:00,823,164
93,2024-05-29 21:00:00,483,134
94,2024-05-29 22:00:00,298,76
95,2024-05-29 23:00:00,145,43
96,2024-05-30 00:00:00,82,30
97,2024-05-30 01:00:00,34,12
98,2024-05-30 02:00:00,17,5
99,2024-05-30 03:00:00,19,4
100,2024-05-30 04:00:00,60,12
101,2024-05-30 05:00:00,53,18
102,2024-05-30 06:00:00,49,20
103,2024-05-30 07:00:00,85,35
104,2024-05-30 08:00:00,339,126
105,2024-05-30 09:00:00,772,229
106,2024-05-30 10:00:00,811,227
107,2024-05-30 11:00:00,679,245
108,2024-05-30 12:00:00,459,183
109,2024-05-30 13:00:00,394,181
110,2024-05-30 14:00:00,420,199
111,2024-05-30 15:00:00,343,168
112,2024-05-30 16:00:00,471,240
113,2024-05-30 17:00:00,618,245
114,2024-05-30 18:00:00,874,269
115,2024-05-30 19:00:00,1168,220
116,2024-05-30 20:00:00,902,166
117,2024-05-30 21:00:00,541,142
118,2024-05-30 22:00:00,263,84
119,2024-05-30 23:00:00,138,35
120,2024-05-31 00:00:00,97,20
121,2024-05-31 01:00:00,31,7
122,2024-05-31 02:00:00,20,3
123,2024-05-31 03:00:00,23,5
124,2024-05-31 04:00:00,64,9
125,2024-05-31 05:00:00,132,32
126,2024-05-31 06:00:00,112,34
127,2024-05-31 07:00:00,238,57
128,2024-05-31 08:00:00,1016,126
129,2024-05-31 09:00:00,2040,224
130,2024-05-31 10:00:00,2066,253
131,2024-05-31 11:00:00,1035,254
132,2024-05-31 12:00:00,538,194
133,2024-05-31 13:00:00,352,193
134,2024-05-31 14:00:00,412,169
135,2024-05-31 15:00:00,467,136
136,2024-05-31 16:00:00,493,258
137,2024-05-31 17:00:00,648,294
138,2024-05-31 18:00:00,1121,258
139,2024-05-31 19:00:00,1516,235
140,2024-05-31 20:00:00,1074,170
141,2024-05-31 21:00:00,543,145
142,2024-05-31 22:00:00,311,97
143,2024-05-31 23:00:00,197,51
144,2024-06-01 00:00:00,123,25
145,2024-06-01 01:00:00,65,23
146,2024-06-01 02:00:00,18,5
147,2024-06-01 03:00:00,33,12
148,2024-06-01 04:00:00,72,20
149,2024-06-01 05:00:00,140,19
150,2024-06-01 06:00:00,138,31
151,2024-06-01 07:00:00,135,42
152,2024-06-01 08:00:00,248,73
153,2024-06-01 09:00:00,259,94
154,2024-06-01 10:00:00,315,126
155,2024-06-01 11:00:00,447,160
156,2024-06-01 12:00:00,414,175
157,2024-06-01 13:00:00,391,165
158,2024-06-01 14:00:00,387,146
159,2024-06-01 15:00:00,333,137
160,2024-06-01 16:00:00,309,140
161,2024-06-01 17:00:00,296,136
162,2024-06-01 18:00:00,370,160
163,2024-06-01 19:00:00,488,162
164,2024-06-01 20:00:00,448,123
165,2024-06-01 21:00:00,481,114
166,2024-06-01 22:00:00,401,79
167,2024-06-01 23:00:00,169,48
168,2024-06-02 00:00:00,79,28
169,2024-06-02 01:00:00,42,9
170,2024-06-02 02:00:00,27,6
171,2024-06-02 03:00:00,25,5
172,2024-06-02 04:00:00,67,11
173,2024-06-02 05:00:00,61,8
174,2024-06-02 06:00:00,69,18
175,2024-06-02 07:00:00,103,39
176,2024-06-02 08:00:00,123,60
177,2024-06-02 09:00:00,160,84
178,2024-06-02 10:00:00,310,177
179,2024-06-02 11:00:00,476,240
180,2024-06-02 12:00:00,438,183
181,2024-06-02 13:00:00,169,76
182,2024-06-02 14:00:00,450,219
183,2024-06-02 15:00:00,395,210
184,2024-06-02 16:00:00,579,267
185,2024-06-02 17:00:00,707,288
186,2024-06-02 18:00:00,667,240
187,2024-06-02 19:00:00,935,231
188,2024-06-02 20:00:00,762,199
189,2024-06-02 21:00:00,791,177
190,2024-06-02 22:00:00,607,115
191,2024-06-02 23:00:00,253,57
192,2024-06-03 00:00:00,81,31
193,2024-06-03 01:00:00,22,5
194,2024-06-03 02:00:00,21,9
195,2024-06-03 03:00:00,27,4
196,2024-06-03 04:00:00,48,11
197,2024-06-03 05:00:00,86,19
198,2024-06-03 06:00:00,82,32
199,2024-06-03 07:00:00,100,40
200,2024-06-03 08:00:00,374,141
201,2024-06-03 09:00:00,834,250
202,2024-06-03 10:00:00,936,296
203,2024-06-03 11:00:00,727,262
204,2024-06-03 12:00:00,487,230
205,2024-06-03 13:00:00,392,211
206,2024-06-03 14:00:00,419,221
207,2024-06-03 15:00:00,400,200
208,2024-06-03 16:00:00,560,255
209,2024-06-03 17:00:00,546,265
210,2024-06-03 18:00:00,759,266
211,2024-06-03 19:00:00,920,212
212,2024-06-03 20:00:00,701,210
213,2024-06-03 21:00:00,429,133
214,2024-06-03 22:00:00,213,80
215,2024-06-03 23:00:00,112,53
216,2024-06-04 00:00:00,75,30
217,2024-06-04 01:00:00,32,11
218,2024-06-04 02:00:00,31,6
219,2024-06-04 03:00:00,22,7
220,2024-06-04 04:00:00,46,11
221,2024-06-04 05:00:00,56,16
222,2024-06-04 06:00:00,55,19
223,2024-06-04 07:00:00,75,28
224,2024-06-04 08:00:00,260,110
225,2024-06-04 09:00:00,501,197
226,2024-06-04 10:00:00,493,232
227,2024-06-04 11:00:00,329,190
228,2024-06-04 12:00:00,237,143
229,2024-06-04 13:00:00,245,137
230,2024-06-04 14:00:00,253,153
231,2024-06-04 15:00:00,234,153
232,2024-06-04 16:00:00,297,177
233,2024-06-04 17:00:00,388,214
234,2024-06-04 18:00:00,461,217
235,2024-06-04 19:00:00,445,212
236,2024-06-04 20:00:00,464,186
237,2024-06-04 21:00:00,326,122
238,2024-06-04 22:00:00,140,65
239,2024-06-04 23:00:00,87,41
240,2024-06-05 00:00:00,93,34
241,2024-06-05 01:00:00,43,12
242,2024-06-05 02:00:00,11,5
243,2024-06-05 03:00:00,28,8
244,2024-06-05 04:00:00,39,17
245,2024-06-05 05:00:00,86,14
246,2024-06-05 06:00:00,65,27
247,2024-06-05 07:00:00,89,51
248,2024-06-05 08:00:00,325,145
249,2024-06-05 09:00:00,654,256
250,2024-06-05 10:00:00,724,287
251,2024-06-05 11:00:00,771,307
252,2024-06-05 12:00:00,503,248
253,2024-06-05 13:00:00,462,267
254,2024-06-05 14:00:00,397,229
255,2024-06-05 15:00:00,396,198
256,2024-06-05 16:00:00,460,256
257,2024-06-05 17:00:00,553,277
258,2024-06-05 18:00:00,926,267
259,2024-06-05 19:00:00,985,215
260,2024-06-05 20:00:00,733,197
261,2024-06-05 21:00:00,471,144
262,2024-06-05 22:00:00,270,85
263,2024-06-05 23:00:00,146,55
264,2024-06-06 00:00:00,54,20
265,2024-06-06 01:00:00,48,18
266,2024-06-06 02:00:00,12,5
267,2024-06-06 03:00:00,32,8
268,2024-06-06 04:00:00,39,12
269,2024-06-06 05:00:00,77,21
270,2024-06-06 06:00:00,46,23
271,2024-06-06 07:00:00,100,43
272,2024-06-06 08:00:00,383,157
273,2024-06-06 09:00:00,841,254
274,2024-06-06 10:00:00,779,274
275,2024-06-06 11:00:00,749,295
276,2024-06-06 12:00:00,393,176
277,2024-06-06 13:00:00,418,230
278,2024-06-06 14:00:00,364,216
279,2024-06-06 15:00:00,420,215
280,2024-06-06 16:00:00,527,274
281,2024-06-06 17:00:00,791,299
282,2024-06-06 18:00:00,1000,255
283,2024-06-06 19:00:00,939,202
284,2024-06-06 20:00:00,473,168
285,2024-06-06 21:00:00,415,148
286,2024-06-06 22:00:00,402,111
287,2024-06-06 23:00:00,151,52
288,2024-06-07 00:00:00,60,18
289,2024-06-07 01:00:00,41,10
290,2024-06-07 02:00:00,27,7
291,2024-06-07 03:00:00,19,3
292,2024-06-07 04:00:00,52,15
293,2024-06-07 05:00:00,81,12
294,2024-06-07 06:00:00,81,32
295,2024-06-07 07:00:00,123,46
296,2024-06-07 08:00:00,412,162
297,2024-06-07 09:00:00,962,257
298,2024-06-07 10:00:00,1054,287
299,2024-06-07 11:00:00,1093,319
300,2024-06-07 12:00:00,668,254
301,2024-06-07 13:00:00,730,291
302,2024-06-07 14:00:00,651,266
303,2024-06-07 15:00:00,628,255
304,2024-06-07 16:00:00,765,294
305,2024-06-07 17:00:00,917,280
306,2024-06-07 18:00:00,1317,276
307,2024-06-07 19:00:00,1568,260
308,2024-06-07 20:00:00,1196,201
309,2024-06-07 21:00:00,790,177
310,2024-06-07 22:00:00,454,136
311,2024-06-07 23:00:00,286,67
312,2024-06-08 00:00:00,136,36
313,2024-06-08 01:00:00,39,11
314,2024-06-08 02:00:00,33,5
315,2024-06-08 03:00:00,29,6
316,2024-06-08 04:00:00,112,21
317,2024-06-08 05:00:00,123,20
318,2024-06-08 06:00:00,91,20
319,2024-06-08 07:00:00,165,62
320,2024-06-08 08:00:00,260,113
321,2024-06-08 09:00:00,483,193
322,2024-06-08 10:00:00,606,276
323,2024-06-08 11:00:00,907,329
324,2024-06-08 12:00:00,897,342
325,2024-06-08 13:00:00,941,345
326,2024-06-08 14:00:00,777,327
327,2024-06-08 15:00:00,819,313
328,2024-06-08 16:00:00,926,318
329,2024-06-08 17:00:00,1045,299
330,2024-06-08 18:00:00,1130,283
331,2024-06-08 19:00:00,1481,258
332,2024-06-08 20:00:00,1306,253
333,2024-06-08 21:00:00,846,176
334,2024-06-08 22:00:00,647,141
335,2024-06-08 23:00:00,297,82
336,2024-06-09 00:00:00,122,25
337,2024-06-09 01:00:00,58,20
338,2024-06-09 02:00:00,49,9
339,2024-06-09 03:00:00,44,9
340,2024-06-09 04:00:00,63,15
341,2024-06-09 05:00:00,94,22
342,2024-06-09 06:00:00,120,28
343,2024-06-09 07:00:00,137,56
344,2024-06-09 08:00:00,207,96
345,2024-06-09 09:00:00,254,120
346,2024-06-09 10:00:00,430,243
